id,code,uic,name_short,name_medium,name_long,slug,country,type
230,HDRZ,8400303,Dn Heldr Z,Den Helder Zuid,Den Helder Zuid,den-helder-zuid,NL,stoptreinstation
137,DN,8400172,Deurne,Deurne,Deurne,deurne,NL,stoptreinstation
153,DV,8400173,Deventer,Deventer,Deventer,deventer,NL,knooppuntIntercitystation
154,DVC,8400185,Colmschate,Colmschate,Deventer Colmschate,deventer-colmschate,NL,stoptreinstation
128,DID,8400174,Didam,Didam,Didam,didam,NL,stoptreinstation
135,DMN,8400165,Diemen,Diemen,Diemen,diemen,NL,stoptreinstation
136,DMNZ,8400163,Diemen Z,Diemen Zuid,Diemen Zuid,diemen-zuid,NL,stoptreinstation
750,GDP,8831112,Diepenbeek,Diepenbeek,Diepenbeek,diepenbeek,B,stoptreinstation
141,DR,8400176,Dieren,Dieren,Dieren,dieren,NL,intercitystation
145,DTC,8400177,Doetinchem,Doetinchem,Doetinchem,doetinchem,NL,knooppuntStoptreinstation
146,DTCH,8400184,De Huet,De Huet,Doetinchem De Huet,doetinchem-de-huet,NL,stoptreinstation
124,DDR,8400180,Dordrecht,Dordrecht,Dordrecht,dordrecht,NL,knooppuntIntercitystation
125,DDRS,8400186,Stadspldrs,Stadspolders,Dordrecht Stadspolders,dordrecht-stadspolders,NL,stoptreinstation
126,DDZD,8400181,Dordrcht Z,Dordrecht Zuid,Dordrecht Zuid,dordrecht-zuid,NL,stoptreinstation
577,EDD,8010101,Dortmund D,Dortmund Derne,Dortmund Derne,dortmund-derne,D,stoptreinstation
578,EDO,8010053,Dortmund,Dortmund Hbf,Dortmund Hbf,dortmund-hbf,D,knooppuntIntercitystation
579,EDKD,8010102,Dortmund K,Dortmund Kirchd.,Dortmund Kirchderne,dortmund-kirchderne,D,stoptreinstation
122,DB,8400182,Driebergen,Driebergen-Zeist,Driebergen-Zeist,driebergen-zeist,NL,knooppuntStoptreinstation
142,DRH,8400183,Driehuis,Driehuis,Driehuis,driehuis,NL,stoptreinstation
143,DRP,8400192,Dronryp,Dronryp,Dronryp,dronryp,NL,stoptreinstation
682,DRON,8400198,Dronten,Dronten,Dronten,dronten,NL,stoptreinstation
150,DUISB,8010316,Duisburg,Duisburg Hbf,Duisburg Hbf,duisburg-hbf,D,knooppuntIntercitystation
156,DVN,8400193,Duiven,Duiven,Duiven,duiven,NL,stoptreinstation
155,DVD,8400194,Duivendrt,Duivendrecht,Duivendrecht,duivendrecht,NL,knooppuntStoptreinstation
580,KDUL,8015125,Dülken,Dülken,Dülken,dulken,D,intercitystation
581,EDULH,8021005,Dülmen,Dülmen,Dülmen,dulmen,D,stoptreinstation
811,KDFFH,8039904,Düsseld F.,Düsseldorf Flug.,Düsseldorf Flughafen,dusseldorf-flughafen,D,knooppuntIntercitystation
152,DUSSEL,8008094,Düsseldrf,Düsseldorf Hbf,Düsseldorf Hbf,dusseldorf-hbf,D,megastation
161,EC,8400195,Echt,Echt,Echt,echt,NL,stoptreinstation
163,EDC,8400201,Ede C,Ede C.,Ede Centrum,ede-centrum,NL,stoptreinstation
162,ED,8400200,Ede-Wag,Ede-Wageningen,Ede-Wageningen,ede-wageningen,NL,knooppuntIntercitystation
817,EEM,8400202,Eemshaven,Eemshaven,Eemshaven,eemshaven,NL,stoptreinstation
